series_success,fourth_down_converted,fourth_down_failed,first_down,yardline_100,ydstogo,yards_gained,score_differential,game_seconds_remaining,epa,wp,rush_attempt,pass_attempt,ep
1.0,1.0,0.0,1.0,7.0,2.0,7.0,-14.0,810.0,3.9395244,0.088199,1.0,0.0,3.0604756
1.0,1.0,0.0,1.0,33.0,4.0,7.0,0.0,3325.0,2.948307,0.43855134,0.0,1.0,1.2495686
1.0,1.0,0.0,1.0,44.0,2.0,21.0,8.0,1515.0,3.9207056,0.8392432,0.0,1.0,0.82517564
0.0,0.0,1.0,0.0,2.0,2.0,1.0,8.0,1387.0,-2.5630364,0.90110236,1.0,0.0,3.2451549
1.0,1.0,0.0,1.0,20.0,5.0,7.0,-15.0,1119.0,2.6414664,0.07930021,1.0,0.0,2.4669716
1.0,1.0,0.0,1.0,52.0,5.0,13.0,-12.0,569.0,3.1845176,0.040608324,0.0,1.0,0.17685708
1.0,1.0,0.0,1.0,70.0,5.0,17.0,-12.0,195.0,2.7215436,0.023921162,0.0,1.0,-0.09186602
1.0,1.0,0.0,1.0,29.0,1.0,10.0,-12.0,86.0,1.3381392,0.014166199,0.0,1.0,2.6910107
0.0,0.0,1.0,0.0,35.0,2.0,0.0,11.0,1140.0,-3.491483,0.8861048,0.0,1.0,1.7171566
1.0,1.0,0.0,1.0,35.0,2.0,3.0,3.0,755.0,2.0982194,0.74103665,0.0,1.0,1.5778794
0.0,0.0,1.0,0.0,88.0,11.0,0.0,-10.0,607.0,-0.007247299,0.054950364,1.0,0.0,-1.9927527
0.0,0.0,1.0,0.0,15.0,2.0,-11.0,-5.0,115.0,-3.605359,0.31438154,0.0,1.0,2.7387197
1.0,1.0,0.0,1.0,42.0,6.0,10.0,-7.0,3113.0,3.7295432,0.36661527,0.0,1.0,0.20337656
0.0,0.0,1.0,0.0,60.0,16.0,0.0,-21.0,141.0,-2.33123,0.00047802742,0.0,1.0,-0.46722966
1.0,1.0,0.0,1.0,39.0,3.0,3.0,-7.0,3241.0,3.1704779,0.2775498,1.0,0.0,0.32473457
0.0,0.0,1.0,0.0,34.0,5.0,0.0,7.0,2794.0,-2.8639994,0.73142624,0.0,1.0,1.2420259
1.0,1.0,0.0,1.0,49.0,1.0,1.0,1.0,2190.0,2.1183996,0.5841396,1.0,0.0,0.73509985
